Name,Outlook
Le'Veon Bell,"Bell was suspended for four games to start the 2016 season but still managed to finish fifth at the position in rushing yards, as well as second in targets, receptions and receiving yards. Bell has been on the field for at least 86 percent of the team's offensive snaps during 25 consecutive games in which he wasn't injured or limited (25 of his past 28 total). During those 25 games, he was on the field for 95 percent of the snaps and handled 22.2 carries and 6.7 targets per game. The heavy usage allowed him a top-14 fantasy week during all 12 of his outings last season. There's little reason to expect the 25-year-old to play a reduced role in 2017. His off-field antics are a concern, but Bell is too good to pass on early in the first round of your draft."
David Johnson,"Johnson's breakout 2016 campaign was the highlight of a comeback year at the running back position. Fantasy's top-scoring running back accrued 2,118 yards and 20 touchdowns on 373 touches. Johnson paced all backs in targets, receptions, receiving yards and end-zone targets (four). He carried the ball inside the opponent's 5-yard line 22 times (second most). Johnson's pedestrian rushing efficiency (4.2 YPC, including 1.6 after contact) is far from ideal, but he more than made up for it with volume; Johnson registered a top-10 fantasy week during a position-best 75 percent of his outings. Johnson is in his prime at age 25 and positioned well to again see 22-24 touches every week."
Antonio Brown,"How high were expectations for Brown last season? His 106-catch, 1,284-yard, 12-touchdown season was widely regarded as a letdown. Brown missed a game, but still topped wide receivers in fantasy points for the third consecutive season. He finished top-five in targets, receptions and receiving yards for the fourth straight year. Brown turns 29 this year, so he still figures to have a few years of top-end production left in the tank. Ben Roethlisberger's top target and fantasy's most consistently dominant wide receiver should be off the board early in the first round of your draft."
Odell Beckham Jr.,"Beckham's 2016 season started slowly, but he ended up posting career bests in both targets (167) and receptions (101). Beckham has now managed at least 91 receptions, 1,305 yards and 10 touchdowns during each of his first three pro seasons. He's finished as a top-seven fantasy wide receiver each of those years. Beckham is known more for his highlight reel catches, but he also ranked seventh in the NFL with 15 end zone targets last season (up from 11 in 2015). The 24-year-old superstar is just getting started and should only benefit from New York's offseason addition of Brandon Marshall and first-round pick Evan Engram. Beckham is a low-risk, high-ceiling pick early in the first round of fantasy drafts."
Julio Jones,"Jones missed two games with a toe injury, but still managed to finish sixth among wide receivers in fantasy points last season. Jones' target share dipped a bit, but Matt Ryan's top target thrived in the breakout offense of the year. Despite eclipsing eight touchdowns in a season just once in his career, Jones has finished as a top-11 fantasy receiver during four of the past five seasons. Durability continues to be an issue for Jones, as he's missed at least one game during four of his six NFL seasons. The Atlanta offense will surely come back to earth a bit this season, but 28-year-old Jones is arguably the game's best talent at the position. Select him in the middle of the first round."
Mike Evans,"Evans was terrific during his first two years in the NFL, but he took his game to a new level in 2016. Evans paced the NFL with 170 targets, a league-high 20 of which came in the end zone, and ranked top-six in receptions, receiving yards and touchdowns. A 6-foot-5 downfield weapon, Evans has ranked top-10 at the position in average depth of target each of his first three seasons in the NFL, which justifies his substandard 54 percent catch rate. Fantasy's No. 4-scoring wideout was consistent but not dominant, posting only four top-10 fantasy weeks, which tied for ninth. The additions of DeSean Jackson and O.J. Howard will take some heat off of Evans and won't cost him many targets and scoring opportunities. Evans is a solid WR1."
LeSean McCoy,"McCoy turns 29 this summer, but his age and hefty career volume of work didn't seem to slow him in 2016. Far from it, in fact. McCoy ranked in the top six in rushing yards for the fourth time in six years and, thanks in part to elite run blocking, his 5.4 YPC ranked fifth among backs. McCoy posted a top-10 fantasy week during 53 percent of his 15 outings (sixth best) and finished fourth at the position in fantasy points. McCoy also caught an incredible 50 of 55 targets (91 percent). Buffalo won't be quite as run heavy with Rex Ryan gone, but McCoy is an explosive lead back in an offense that ranked seventh in touchdowns per game last year. He's a quality RB1 option."
Jordy Nelson,"Considering that he missed his entire age-30 season with a torn ACL, it was fair to wonder just how effective Nelson would be in 2016. It turns out the answer was 'very,' as Nelson caught 97 passes for 1,257 yards and 14 touchdowns en route to finishing second among wide receivers in fantasy points. Nelson's seven top-10 fantasy weeks were second-most at the position and he finished 35th or better during all but two of his 16 outings. Nelson has finished second, third, 13th and fourth during the past four seasons in which he's appeared in all 16 games. He scored 13-plus touchdowns during three of those campaigns. Nelson's age (32) is enough to knock him down a few spots, but he's still a quality target near the first/second-round turn."
A.J. Green,"The Bengals' 2016 season was marred by injuries and Green was caught up in the onslaught. After posting at least 1,000 receiving yards during his first six seasons, Green caught 66 passes for 964 yards and four scores in 10 games in 2016. He finished an NFL-best 70 percent of his 10 starts as a top-30 non-PPR fantasy receiver. He's finished top-nine at the position in PPR during three of the past five seasons, but has missed a total of nine games due to injury over the past three seasons. Green turns 29 years old this year and remains one of the best and most heavily targeted wideouts in the league."
Devonta Freeman,"Freeman registered 57 fewer touches in 2016 than he did when he led all running backs in fantasy points in 2015, but the dynamic young back produced only 32 fewer fantasy points. Freeman posted a healthy 4.8 YPC, thanks, in part, to terrific blocking (3.2 yards before contact per attempt ranked seventh) and high-value carries (his 16 carries inside the opponent's 5-yard line ranked fifth). Freeman ranked ninth in rushing yards and fifth in receiving yards at the position. He posted seven top-10 fantasy weeks. The presence of Tevin Coleman, departure of Kyle Shanahan and some offensive regression to the mean will lead to a statistical step back for Freeman, but he's still a back-end RB1 option in all formats."
Michael Thomas,"Thomas was fantasy's No. 7 wide receiver despite missing one game as a rookie. The Ohio State product caught 77 percent of his targets (third best among wideouts) and averaged 9.5 yards per target (ninth). He posted an impressive nine top-30 fantasy weeks during his final 13 games of the season. New Orleans' second-round pick from 2016 is obviously in the WR1 mix, especially with Brandin Cooks gone, but keep in mind that a Saints wide receiver has exceeded a 20 percent target share only once during the Sean Payton/Drew Brees era (Thomas averaged a 20 percent share as a rookie). Nonetheless, Brees will back under center in 2017, so the 24-year-old Thomas is a great bet for a huge second season."
Melvin Gordon,"Gordon enjoyed a breakout 2016 season, but it would've been even better if not for a season-ending hip injury suffered in Week 14. Gordon entered that game with 12 touchdowns and third at the position in fantasy points. Gordon was limited to 3.9 YPC on the season but was good after contact (his 2.0 YAC ranked 16th). Gordon registered 17 carries inside the opponent's 5-yard line (third most) and his 419 receiving yards ranked ninth. Gordon is entering his prime years at age 24 and will again be the clear feature back for an emerging Los Angeles franchise. Select him in the second round of your draft."
Jordan Howard,"Howard opened his rookie season third on Chicago's depth chart, but it didn't take the intriguing fifth-round pick long to work his way into workhorse duties. The big man ranked 11th in the league in carries, but his terrific effectiveness (5.2 YPC, 2.2 YAC) allowed him the second-most rushing yards. Howard's hands (position-high eight drops) are a concern, but he still managed 48 targets and averaged a healthy 10.3 yards per reception. Touchdowns may elude Howard in Chicago's underwhelming offense, but the 22-year-old emerging star will push for 20 touches every week. Upgrade him slightly in non-PPR."
T.Y. Hilton,"Following four years as essentially a solid No. 2 fantasy receiver, Hilton took his game to a new level in 2016. The 5-foot-9, 180-pound playmaker caught 91 of 153 targets for 1,448 yards, all of which were career highs. Hilton averaged 9.5 yards per target (10th best) and finished as a top-10 fantasy receiver during 38 percent of his outings (sixth best). Hilton isn't a great source of touchdowns, averaging exactly six per season since entering the league, but he makes up for it with heavy volume and high-end efficiency in the Colts' pass-heavy, Andrew Luck-led offense."
DeMarco Murray,"Following a rough year in Philadelphia, Murray reassumed his spot as one of the game's top tailbacks with 1,664 yards from scrimmage in Tennessee last year. Murray averaged a healthy 4.4 yards per carry despite facing an average of 8.1 in-box defenders (fourth highest). Murray ranked third at the position in carries and sixth in receptions, which helped him to his third top-six fantasy season in four years. Once labeled as injury prone, Murray has missed one game in the past three seasons. Murray is now 29, and Derrick Henry's role only figures to expand, but the veteran remains the lead back and a three-down contributor in one of the game's most run-heavy offenses."
Jay Ajayi,"Ajayi wasn't pleased about losing Miami's starting gig to Arian Foster last preseason. He may have had a point. After sitting out Week 1, Ajayi rolled to 1,423 yards and 8 touchdowns on 287 touches. He posted a 4.9 YPC (11th best), including 2.5 yards after contact (fifth). Although Ajayi was extremely effective, a hefty chunk of his fantasy production came in three games. He posted a top-three point total in each of those games, which accounted for half of his six top-20 fantasy weeks. Ajayi doesn't add much as a receiver, but he's now the clear feature back in Miami's run-first offense. The 24-year-old should be off the board during the second round of your draft."
Doug Baldwin,"Regression to the mean was an inevitability for Seattle's top wideout last season and, although his touchdown production was cut in half, Baldwin still managed his second consecutive top-10 fantasy campaign. Baldwin posted career highs in receptions and yardage on his way to an eighth-place finish. For the second straight season, he was a bit too boom/bust, posting five top-10 weeks, but only three additional top-30 finishes. Baldwin is in his prime years at age 28 and remains one of the games' most-underrated players. He's a solid WR2 play in a Seattle offense that has relied more on the pass in recent years."
Dez Bryant,"Injuries have limited Bryant to 22 games during the past two regular seasons, so it's easy to forget that he finished as a top-seven fantasy receiver during the prior three seasons. He was pretty good during the 13 games he played last season as well, posting a top-20 fantasy week during 54 percent of his outings (seventh best). Bryant scored eight touchdowns in 2016 after averaging 13.7 per season from 2012 to 2014. Bryant is averaging 8.8 targets per game (27 percent target share) during the 53 games he's played at least three-quarters of the pass play snaps since the start of 2013. The 28-year-old's volume will be limited some by Dallas' run-heavy scheme, but he does enough damage to warrant second-round consideration."
Leonard Fournette,"The Jaguars selected Fournette with the fourth overall pick in April's draft. He immediately steps in as the team's feature back. In terms of running backs with elite athleticism, size and upside as a ball carrier, you'll struggle to find a prospect more intriguing than Fournette. The LSU product is 6-foot-0, 240 pounds with big hands, long arms and 4.51 wheels. Fournette was dominant during his freshman and sophomore seasons, but an ankle injury limited his effectiveness during seven games last season. Fournette's receiving and blocking inadequacies may limit his rookie-season contributions slightly, but the 22-year-old's clear path to carries and elite upside as a rusher positions him as a strong RB2."
Todd Gurley,"Gurley's 2016 season was a disaster. He ranked fifth in carries and 12th in targets among running backs, but finished 15th at the position in fantasy points. Gurley failed to finish a single week better than 10th. His YPC fell from 4.8 in 2015 to 3.2 last season. Gurley faced an average of 7.6 in-box defenders, which is near league average, but his line struggled to create open lanes (1.6 yards before contact per attempt was seventh lowest). Gurley was quietly pretty busy as a receiver, handling 57 targets (12th most among backs). Gurley is only 22 and a strong candidate for a bounce-back season, but he will struggle to find running lanes and scoring opportunities if second-year QB Jared Goff fails to improve on a brutal rookie showing."
Amari Cooper,"Cooper already has a pair of 1,000-yard seasons under his belt, which is pretty incredible when you realize that he achieved that prior to turning 23 years old. Cooper took a step forward in his second season, cutting his drops from 10 to four, improving his yards per target from 8.6 to 8.9 and jumping from 21st to 13th at the position in fantasy points. Cooper will need to find paydirt more often in order to join the fantasy elite -- he has just 11 scores in two seasons -- but the former fourth-overall pick is just scratching the surface of his upside. He's a strong candidate for another big leap in 2017."
Demaryius Thomas,"Thomas finished 16th among wide receivers in fantasy points last season and was 11th in 2015. That's not too bad, but he's trending in the wrong direction after finishing in the top six each of the previous three seasons. Amazingly, Thomas has posted a grand total of two top-10 fantasy weeks over the past two seasons. He caught 90 passes for 1,083 yards and five touchdowns and racked up eight end zone targets last season, all of which were his lowest totals since 2011. Thomas is still in his prime at age 29, but Denver's shaky quarterback situation has dropped him to high-floor WR2 status."
Brandin Cooks,"Cooks -- a first-round pick back in 2014 -- has three NFL seasons under his belt, but incredibly is only 23 years old. He adds an every-down speed component to a Patriots offense that has relied heavily on short and intermediate passing in recent years. Cooks joins New England having posted back-to-back 1,100-yard receiving seasons, including a total of 17 touchdowns during the two campaigns. He was fantasy's No. 13 wide receiver in 2015 and improved to 10th last season. Cooks needs to be downgraded in New England's crowded offense and he moves from the Superdome to icy New England (he's yet to play in an NFL game at a temperature below 55 degrees), but he's one of the game's top lid-lifters in one of the game's best offenses. He's a WR2 target with big upside."
Rob Gronkowski,"Gronkowski is one of the most dominant players in the NFL, but injuries continue to derail his career. The three-time top fantasy tight end has missed at least one game during each of the past five years, a total of 24 during the span. Gronkowski appeared in eight games last season, and led all tight ends in fantasy points during Weeks 6-10. He's finished in the top five in touchdowns, fantasy points and yards per target during the past four seasons in which he's appeared in at least 11 games. Gronkowski turns 28 this year and is expected to be back to full health, so although his durability is a major concern, his dominant production makes him worth consideration during the second round of your draft."
Lamar Miller,"Needless to say, Miller's first season in Houston was a disappointment. After averaging 4.6 YPC during four seasons in Miami, Miller failed to erase concerns that he couldn't handle a bigger role by averaging 4.0 YPC in 2016. He averaged 1.3 yards after contact, which was third worst in the NFL. Miller averaged nearly 20 carries per game but played a minimal role on passing downs and managed only 6.4 YPR. Miller is still only 26 years old and remains clearly atop the depth chart, but it's safe to assume he'll defer snaps and carries to third-round pick D'Onta Foreman this season."
DeAndre Hopkins,"The disaster that was the Brock Osweiler season in Houston had a fairly sizable effect on Hopkins' numbers last season. One year after finishing as fantasy's No. 4 wide receiver, Hopkins' targets fell by 44, his receptions by 33, his receiving yards by 567 and his touchdowns by seven. He managed two top-10 fantasy weeks and 26 receivers scored more fantasy points. Osweiler is gone, but Houston's quarterback situation remains shaky, at best. Nonetheless, Hopkins is a bounce-back candidate on the grounds that he's in his prime at age 25 and one of the game's most talented players."
Ezekiel Elliott,"Elliott paced the NFL with 322 carries and 1,631 rushing yards while finding the end zone a total of 16 times last season. Not bad for a rookie. Elliott faced an average of 8.0 in-box defenders, which was fifth highest in the NFL. The 2016 fourth overall pick trailed only David Johnson in fantasy points despite being limited to 38 targets (33rd). Elliott's rushing prowess, combined with Dallas' terrific offensive line and run-heavy scheme, will keep him near the top of the running back rankings on a per-game basis, but he's in for some regression to the mean in the scoring department (only 11 carries inside the 5-yard line). Elliott also will need more receiving work to maximize his fantasy contributions, which is likely, following the departure of Lance Dunbar. Elliott is suspended for six games (appeal pending), so he's best viewed as a third-round target. He'll be an elite RB1 upon his return in Week 8."
Terrelle Pryor Sr.,"Pryor spent the first four years of his pro career as a quarterback, but has made an impressive transition to wide receiver over the past two seasons. Last season marked Pryor's first as an every-down receiver and he wasn't short on volume. Pryor racked up 135 targets (13th most), including 14 while in the end zone (ninth), and was an average of 13.9 yards down field when targeted (11th highest). Despite the fact 26.7 percent of balls thrown his way were off target, Pryor finished as fantasy's No. 20 receiver. Pryor is in his prime at age 27 and, at 6-foot-4 and 223 pounds, he adds some serious size to the perimeter in Washington. Pryor will be heavily targeted and should easily improve in the touchdown department in a better offense."
