"Rank","Player","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"1","David Johnson","ARI","RB1","8","1","3","1.2","0.5","1.0","0.0"
"2","Le'Veon Bell","PIT","RB2","9","1","3","1.8","0.4","2.0","0.0"
"3","Antonio Brown","PIT","WR1","9","1","6","3.1","0.5","3.0","0.0"
"4","Odell Beckham Jr.","NYG","WR2","8","3","13","5.4","1.2","5.0","+1.0"
"5","Julio Jones","ATL","WR3","5","3","13","5.6","1.8","4.0","-1.0"
"6","LeSean McCoy","BUF","RB3","6","3","15","6.8","2.9","6.0","0.0"
"7","A.J. Green","CIN","WR4","6","4","16","8.8","2.6","8.0","+1.0"
"8","Mike Evans","TB","WR5","11","4","20","9.0","2.9","7.0","-1.0"
"9","Melvin Gordon","LAC","RB4","9","4","19","9.3","3.3","10.0","+1.0"
"10","Devonta Freeman","ATL","RB5","5","4","30","9.6","3.6","9.0","-1.0"
"11","Jordy Nelson","GB","WR6","8","5","18","10.5","3.0","11.0","0.0"
"12","DeMarco Murray","TEN","RB6","8","8","51","14.1","5.7","13.0","+1.0"
"13","Jay Ajayi","MIA","RB7","11","4","41","15.0","6.1","15.0","+2.0"
"14","Jordan Howard","CHI","RB8","9","8","39","15.2","5.6","14.0","0.0"
"15","Michael Thomas","NO","WR7","5","6","26","13.0","3.0","12.0","-3.0"
"16","Dez Bryant","DAL","WR8","6","10","40","18.8","5.2","19.0","+3.0"
"17","Doug Baldwin","SEA","WR9","6","12","37","19.4","4.6","23.0","+6.0"
"18","Amari Cooper","OAK","WR10","10","10","35","19.5","4.0","17.0","-1.0"
"19","T.Y. Hilton","IND","WR11","11","9","43","20.1","5.6","18.0","-1.0"
"20","Todd Gurley","LAR","RB9","8","9","52","21.9","7.7","20.0","0.0"
"21","Rob Gronkowski","NE","TE1","9","13","102","24.0","11.7","21.0","0.0"
"22","Demaryius Thomas","DEN","WR12","5","16","47","24.3","6.1","29.0","+7.0"
"23","DeAndre Hopkins","HOU","WR13","7","15","43","26.1","6.3","26.0","+3.0"
"24","Brandin Cooks","NE","WR14","9","15","64","27.0","9.9","25.0","+1.0"
"25","Isaiah Crowell","CLE","RB10","9","12","61","30.6","9.2","34.0","+9.0"
"26","Leonard Fournette","JAC","RB11","8","11","82","31.2","12.7","22.0","-4.0"
"27","Keenan Allen","LAC","WR15","9","13","69","31.5","10.2","30.0","+3.0"
"28","Ezekiel Elliott","DAL","RB12","6","4","78","32.4","13.6","16.0","-12.0"
"29","Lamar Miller","HOU","RB13","7","11","103","33.2","12.3","28.0","-1.0"
"30","Travis Kelce","KC","TE2","10","21","57","34.9","7.1","33.0","+3.0"
"31","Terrelle Pryor","WAS","WR16","5","19","89","36.6","14.4","31.0","0.0"
"32","Alshon Jeffery","PHI","WR17","10","18","73","37.4","10.2","36.0","+4.0"
"33","Golden Tate","DET","WR18","7","19","83","38.2","10.7","46.0","+13.0"
"34","Allen Robinson","JAC","WR19","8","20","71","38.6","11.1","40.0","+6.0"
"35","Michael Crabtree","OAK","WR20","10","22","73","39.5","10.1","39.0","+4.0"
"36","Larry Fitzgerald","ARI","WR21","8","9","102","39.5","13.2","48.0","+12.0"
"37","Christian McCaffrey","CAR","RB14","11","15","100","39.6","16.3","27.0","-10.0"
"38","Aaron Rodgers","GB","QB1","8","32","200","38.9","18.6","24.0","-14.0"
"39","Davante Adams","GB","WR22","8","16","86","42.1","14.9","38.0","-1.0"
"40","Ty Montgomery","GB","RB15","8","15","165","43.2","19.0","45.0","+5.0"
"41","Marshawn Lynch","OAK","RB16","10","24","113","43.6","16.0","35.0","-6.0"
"42","Dalvin Cook","MIN","RB17","9","9","99","43.9","19.3","37.0","-5.0"
"43","Tom Brady","NE","QB2","9","34","78","41.2","8.0","32.0","-11.0"
"44","Carlos Hyde","SF","RB18","11","17","123","45.4","14.3","42.0","-2.0"
"45","Jarvis Landry","MIA","WR23","11","14","86","46.3","15.4","43.0","-2.0"
"46","Greg Olsen","CAR","TE3","11","27","66","47.5","6.4","47.0","+1.0"
"47","Jordan Reed","WAS","TE4","5","30","108","51.5","12.9","50.0","+3.0"
"48","Drew Brees","NO","QB3","5","35","80","48.1","7.5","44.0","-4.0"
"49","Joe Mixon","CIN","RB19","6","21","151","51.9","19.9","41.0","-8.0"
"50","Mark Ingram","NO","RB20","5","12","102","53.2","14.9","54.0","+4.0"
"51","Julian Edelman","NE","WR24","9","8","112","53.4","17.3","52.0","+1.0"
"52","Danny Woodhead","BAL","RB21","10","17","169","54.0","22.6","62.0","+10.0"
"53","Sammy Watkins","LAR","WR25","8","23","114","54.8","17.8","51.0","-2.0"
"54","Bilal Powell","NYJ","RB22","11","23","106","55.2","14.3","60.0","+6.0"
"55","Tyreek Hill","KC","WR26","10","11","138","55.9","17.8","49.0","-6.0"
"56","Emmanuel Sanders","DEN","WR27","5","33","118","56.8","14.2","61.0","+5.0"
"57","Stefon Diggs","MIN","WR28","9","20","83","57.1","15.9","57.0","0.0"
"58","Jamison Crowder","WAS","WR29","5","31","116","58.3","15.8","64.0","+6.0"
"59","C.J. Anderson","DEN","RB23","5","25","123","59.5","15.9","63.0","+4.0"
"60","Spencer Ware","KC","RB24","10","27","138","60.5","18.3","56.0","-4.0"
"61","Jimmy Graham","SEA","TE5","6","44","109","61.0","12.8","59.0","-2.0"
"62","Martavis Bryant","PIT","WR30","9","31","129","65.6","18.4","53.0","-9.0"
"63","Russell Wilson","SEA","QB4","6","37","114","63.2","11.6","65.0","+2.0"
"64","Ameer Abdullah","DET","RB25","7","33","158","67.3","18.4","67.0","+3.0"
"65","Willie Snead","NO","WR31","5","38","113","68.3","13.5","66.0","+1.0"
"66","Matt Ryan","ATL","QB5","5","37","131","65.0","14.4","55.0","-11.0"
"67","Tevin Coleman","ATL","RB26","5","26","104","70.0","14.6","69.0","+2.0"
"68","Kelvin Benjamin","CAR","WR32","11","25","123","70.2","17.2","58.0","-10.0"
"69","Pierre Garcon","SF","WR33","11","24","166","71.6","20.3","72.0","+3.0"
"70","Kyle Rudolph","MIN","TE6","9","34","110","73.5","15.0","70.0","0.0"
"71","Brandon Marshall","NYG","WR34","8","36","137","75.2","17.0","68.0","-3.0"
"72","Frank Gore","IND","RB27","11","27","140","75.4","17.6","75.0","+3.0"
"73","Tyler Eifert","CIN","TE7","6","33","137","76.9","17.6","76.0","+3.0"
"74","Andrew Luck","IND","QB6","11","37","136","75.3","21.3","74.0","0.0"
"75","Theo Riddick","DET","RB28","7","39","210","80.0","22.3","81.0","+6.0"
"76","Kirk Cousins","WAS","QB7","5","50","152","78.7","19.0","85.0","+9.0"
"77","Jeremy Maclin","BAL","WR35","10","36","128","80.2","17.3","91.0","+14.0"
"78","Mike Gillislee","NE","RB29","9","39","145","84.0","20.7","71.0","-7.0"
"79","Donte Moncrief","IND","WR36","11","36","128","84.8","17.0","82.0","+3.0"
"80","Delanie Walker","TEN","TE8","8","20","121","85.0","16.7","73.0","-7.0"
"81","Zach Ertz","PHI","TE9","10","23","115","86.2","16.4","86.0","+5.0"
"82","Cameron Meredith","CHI","WR37","9","49","172","88.1","17.0","93.0","+11.0"
"83","Marcus Mariota","TEN","QB8","8","54","171","84.3","21.6","96.0","+13.0"
"84","Devante Parker","MIA","WR38","11","57","135","89.1","16.1","78.0","-6.0"
"85","DeSean Jackson","TB","WR39","11","62","140","88.9","13.7","89.0","+4.0"
"86","Jameis Winston","TB","QB9","11","54","149","88.2","18.0","80.0","-6.0"
"87","Paul Perkins","NYG","RB30","8","41","235","91.4","27.1","79.0","-8.0"
"88","Adrian Peterson","NO","RB31","5","48","178","91.4","23.3","77.0","-11.0"
"89","Duke Johnson","CLE","RB32","9","39","218","91.8","23.7","97.0","+8.0"
"90","Cam Newton","CAR","QB10","11","54","146","88.8","18.6","95.0","+5.0"
"91","Eric Decker","TEN","WR40","8","47","143","93.2","16.7","94.0","+3.0"
"92","Doug Martin","TB","RB33","11","44","170","93.3","27.1","83.0","-9.0"
"93","Terrance West","BAL","RB34","10","36","232","94.9","26.5","102.0","+9.0"
"94","Tyrell Williams","LAC","WR41","9","42","148","93.9","20.3","99.0","+5.0"
"95","Martellus Bennett","GB","TE10","8","44","144","98.5","16.9","90.0","-5.0"
"96","Randall Cobb","GB","WR42","8","62","169","98.5","16.9","98.0","+2.0"
"97","Kenny Britt","CLE","WR43","9","49","242","100.5","22.8","106.0","+9.0"
"98","Derek Carr","OAK","QB11","10","58","148","100.2","18.7","84.0","-14.0"
"99","Jordan Matthews","BUF","WR44","6","38","161","102.0","22.3","114.0","+15.0"
"100","Eric Ebron","DET","TE11","7","63","143","104.1","18.0","120.0","+20.0"
"101","Ben Roethlisberger","PIT","QB12","9","54","174","100.8","23.2","105.0","+4.0"
"102","Adam Thielen","MIN","WR45","9","75","163","105.2","16.1","104.0","+2.0"
"103","Eddie Lacy","SEA","RB35","6","51","220","105.6","29.8","92.0","-11.0"
"104","James White","NE","RB36","9","17","180","106.8","26.9","109.0","+5.0"
"105","Mike Wallace","BAL","WR46","10","58","205","107.2","21.4","112.0","+7.0"
"106","Dak Prescott","DAL","QB13","6","67","170","106.8","18.4","111.0","+5.0"
"107","Kareem Hunt","KC","RB37","10","51","165","108.3","23.7","101.0","-6.0"
"108","Philip Rivers","LAC","QB14","9","58","173","107.8","19.6","122.0","+14.0"
"109","Robert Kelley","WAS","RB38","5","41","178","109.3","27.8","100.0","-9.0"
"110","LeGarrette Blount","PHI","RB39","10","53","172","110.5","26.8","87.0","-23.0"
"111","C.J. Prosise","SEA","RB40","6","53","191","107.1","24.6","115.0","+4.0"
"112","Jack Doyle","IND","TE12","11","65","248","113.0","20.1","124.0","+12.0"
"113","Matthew Stafford","DET","QB15","7","58","169","110.2","20.8","110.0","-3.0"
"114","Corey Coleman","CLE","WR47","9","76","166","111.7","17.0","107.0","-7.0"
"115","Derrick Henry","TEN","RB41","8","62","165","113.3","21.9","88.0","-27.0"
"116","Hunter Henry","LAC","TE13","9","66","164","114.7","18.5","103.0","-13.0"
"117","Matt Forte","NYJ","RB42","11","53","216","116.5","28.9","119.0","+2.0"
"118","Darren Sproles","PHI","RB43","10","51","251","119.4","37.8","126.0","+8.0"
"119","Rishard Matthews","TEN","WR48","8","68","204","119.7","22.2","123.0","+4.0"
"120","John Brown","ARI","WR49","8","69","195","119.3","25.8","118.0","-2.0"
