Name,Team,Position,Passing Completions,Passing Attempts,Passing Yards,Passing TDs,Passing INTs,Rushing Attemps,Rushing Yards,Rushing TDs,Receptions,Receving Yards,Receiving TDs,Targets,2PCs,Fumbles,Other TDs,Total Points
David Johnson,Ari,RB,0,0,0,0,0,293,1239,16,80,879,4,120,1,3,0,407.8
Aaron Rodgers,GB,QB,401,610,4428,40,7,67,369,4,0,0,0,0,2,4,0,380.0
Matt Ryan,Atl,QB,373,534,4944,38,7,35,117,0,0,0,0,0,2,2,0,347.5
Drew Brees,NO,QB,471,673,5208,37,15,23,20,2,0,0,0,0,0,4,0,332.3
Ezekiel Elliott,Dal,RB,0,0,0,0,0,322,1631,15,32,363,1,40,0,1,0,325.4
Le'Veon Bell,Pit,RB,0,1,0,0,0,261,1268,7,75,616,2,94,1,1,0,317.4
Andrew Luck,Ind,QB,346,545,4240,31,13,64,341,2,0,0,0,0,2,5,0,307.7
Antonio Brown,Pit,WR,0,0,0,0,0,3,9,0,106,1284,12,155,0,0,0,307.3
Jordy Nelson,GB,WR,0,0,0,0,0,0,0,0,97,1257,14,152,0,1,0,304.7
Mike Evans,TB,WR,0,0,0,0,0,0,0,0,96,1321,12,175,2,0,0,304.1
Kirk Cousins,Wsh,QB,406,606,4917,25,12,34,96,4,0,0,0,0,0,3,0,300.3
LeSean McCoy,Buf,RB,0,0,0,0,0,234,1267,13,50,356,1,57,1,0,0,298.3
Odell Beckham Jr.,NYG,WR,0,0,0,0,0,1,9,0,101,1367,10,169,0,1,0,296.6
DeMarco Murray,Ten,RB,1,2,10,1,0,293,1287,9,53,377,3,67,0,1,0,293.8
Dak Prescott,Dal,QB,311,459,3667,23,4,57,282,6,0,0,0,0,0,4,0,286.9
Devonta Freeman,Atl,RB,0,0,0,0,0,227,1079,11,54,462,2,65,0,1,0,284.1
Matthew Stafford,Det,QB,388,594,4327,24,10,37,207,2,0,0,0,0,1,2,0,279.8
T.Y. Hilton,Ind,WR,0,0,0,0,0,0,0,0,91,1448,6,156,1,0,0,273.8
Blake Bortles,Jax,QB,368,625,3905,23,16,58,359,3,1,20,1,1,2,6,0,271.1
Tyrod Taylor,Buf,QB,269,436,3023,17,6,95,580,6,0,0,0,0,2,2,0,270.9
Russell Wilson,Sea,QB,353,546,4219,21,11,72,259,1,2,14,1,2,1,2,0,270.1
Derek Carr,Oak,QB,357,560,3937,28,6,39,70,0,0,0,0,0,5,3,0,268.5
Andy Dalton,Cin,QB,364,563,4206,18,8,46,184,4,0,0,0,0,0,3,0,260.6
Marcus Mariota,Ten,QB,276,451,3426,26,9,60,349,2,0,0,0,1,0,5,0,259.9
Julio Jones,Atl,WR,0,0,0,0,0,0,0,0,83,1409,6,129,0,0,0,259.9
Philip Rivers,LAC,QB,349,578,4386,33,21,14,35,0,0,0,0,0,0,5,0,258.9
Tom Brady,NE,QB,291,432,3554,28,2,28,64,0,0,0,0,0,1,0,0,258.6
Jameis Winston,TB,QB,345,567,4090,28,18,53,165,1,0,0,0,0,3,6,0,256.1
Michael Thomas,NO,WR,0,0,0,0,0,0,0,0,92,1137,9,122,0,2,0,255.7
Cam Newton,Car,QB,270,510,3509,19,14,90,359,5,0,0,0,0,2,2,0,254.3
Doug Baldwin,Sea,WR,1,1,15,1,0,3,2,0,94,1128,7,126,0,0,0,253.6
