Name,Team,Position,Passing Completions,Passing Attempts,Passing Yards,Passing TDs,Passing INTs,Rushing Attemps,Rushing Yards,Rushing TDs,Receptions,Receving Yards,Receiving TDs,Total Points
David Johnson,Ari,RB,0.0,0.0,0.0,0.0,0.0,307.1,1229.7,11.7,77.8,783.0,4.1,369.2
Le'Veon Bell,Pit,RB,0.0,0.0,0.0,0.0,0.0,303.6,1398.6,9.9,81.3,669.4,3.8,369.2
Aaron Rodgers,GB,QB,374.8,583.3,4288.1,35.7,8.8,54.5,287.3,1.7,0.0,0.0,0.0,331.5
Tom Brady,NE,QB,390.5,598.7,4708.1,33.6,9.1,37.4,151.4,1.9,0.0,0.0,0.0,329.0
Drew Brees,NO,QB,429.5,642.7,4879.7,34.2,13.8,21.7,87.7,1.1,0.0,0.0,0.0,317.4
Antonio Brown,Pit,WR,0.0,0.0,0.0,0.0,0.0,4.0,22.3,0.1,107.7,1420.2,7.7,302.8
Matt Ryan,Atl,QB,369.6,556.6,4460.0,32.3,11.1,35.1,115.5,1.0,0.0,0.0,0.0,301.9
Russell Wilson,Sea,QB,330.7,514.6,4044.9,26.1,11.3,81.5,418.9,2.5,0.0,0.0,0.0,295.3
Cam Newton,Car,QB,311.2,531.2,3935.7,24.2,13.1,84.0,388.7,4.4,0.0,0.0,0.0,292.2
Andrew Luck,Ind,QB,345.1,561.7,4070.8,29.6,14.8,63.5,301.7,1.8,0.0,0.0,0.0,288.3
Julio Jones,Atl,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.7,1434.5,7.4,284.1
Matthew Stafford,Det,QB,394.2,608.8,4377.1,28.1,12.0,35.6,132.3,1.5,0.0,0.0,0.0,283.7
Jordy Nelson,GB,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.2,1276.6,10.2,281.2
Jameis Winston,TB,QB,357.0,579.5,4235.2,28.0,15.8,49.7,212.9,2.0,0.0,0.0,0.0,277.8
Odell Beckham Jr.,NYG,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.4,1312.4,8.1,276.5
Kirk Cousins,Wsh,QB,396.7,612.6,4710.8,26.2,12.9,30.6,56.1,1.5,0.0,0.0,0.0,274.9
A.J. Green,Cin,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.1,1314.8,7.6,273.3
Tyrod Taylor,Buf,QB,302.5,476.2,3403.8,18.1,7.7,91.4,533.9,4.1,0.0,0.0,0.0,268.3
Dak Prescott,Dal,QB,335.2,513.0,3880.5,24.9,8.9,54.5,216.7,2.6,0.0,0.0,0.0,268.0
Marcus Mariota,Ten,QB,304.4,492.4,3604.8,27.0,11.1,63.2,324.7,1.9,0.0,0.0,0.0,266.4
Derek Carr,Oak,QB,361.3,589.3,4093.8,26.7,9.5,36.2,101.3,0.9,0.0,0.0,0.0,264.9
LeSean McCoy,Buf,RB,0.0,0.0,0.0,0.0,0.0,240.8,1191.6,7.4,51.7,417.2,1.7,264.5
Mike Evans,TB,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.8,1202.1,8.7,260.2
Devonta Freeman,Atl,RB,0.0,0.0,0.0,0.0,0.0,202.3,858.9,9.5,52.2,446.9,3.4,260.2
Ben Roethlisberger,Pit,QB,355.5,541.4,4214.3,27.2,13.8,25.6,60.8,0.7,0.0,0.0,0.0,259.4
Michael Thomas,NO,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.2,1171.6,8.0,258.7
T.Y. Hilton,Ind,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.1,1292.6,7.4,258.2
